name,solarenergy,uvindex
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",24,8
"Clacy-et-Thierret, Hauts-de-France, France",7.1,4
"Treban, Auvergne-Rhône-Alpes, France",24.5,9
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",20.8,8
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",20.6,8
"Massoins, Provence-Alpes-Côte d'Azur, France",26.4,9
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",23.9,8
"Mazerny, Grand Est, France",19.6,9
"Brassac, Occitanie, France",22.1,8
"Villechétif, Grand Est, France",17,8
"Ladern-sur-Lauquet, Occitanie, France",22.4,8
"Pont-de-Salars, Occitanie, France",24.9,9
"Saint-Chamas, Provence-Alpes-Côte d'Azur, France",26.3,9
"May-sur-Orne, Normandie, France",26.7,9
"Thiézac, Auvergne-Rhône-Alpes, France",24.7,9
"Champniers, Nouvelle-Aquitaine, France",18.6,9
"Saint-Georges-des-Coteaux, Nouvelle-Aquitaine, France",27.3,9
"Osmoy, Île-de-France, France",19.1,9
"Corrèze, Nouvelle-Aquitaine, France",26.4,9
"Santa-Maria-Siché, Corse, France",21.1,8
"Érone, Corse, France",24.9,9
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",24,8
"Plaine-Haute, Bretagne, France",26.7,9
"Moutier-d'Ahun, Nouvelle-Aquitaine, France",20.5,8
"Notre-Dame-de-Sanilhac, Sanilhac, Nouvelle-Aquitaine, France",27.2,9
"Chevigney-lès-Vercel, Bourgogne-Franche-Comté, France",21.1,9
"Saint-Sauveur-en-Diois, Auvergne-Rhône-Alpes, France",13.7,8
"Quittebeuf, Normandie, France",18.9,9
"Nogent-sur-Eure, Centre-Val de Loire, France",22.1,9
"Lopérec, Bretagne, France",24.9,8
"Boucoiran-et-Nozières, Occitanie, France",20.7,8
"Longages, Occitanie, France",23.2,9
"Ordan-Larroque, Occitanie, France",23.2,9
"Bordeaux, Nouvelle-Aquitaine, France",22.2,9
"Cabrières, Occitanie, France",26.6,9
"Betton, Bretagne, France",25.5,9
"Niherne, Centre-Val de Loire, France",22.1,9
"Sorigny, Centre-Val de Loire, France",26.2,9
"Veurey-Voroize, Auvergne-Rhône-Alpes, France",13.3,8
"Marre, Grand Est, France",16.9,7
"Villenave, Nouvelle-Aquitaine, France",27.5,9
"Saint-Claude-de-Diray, Centre-Val de Loire, France",27,9
"Poncins, Auvergne-Rhône-Alpes, France",22.2,8
"Saint-Paulien, Auvergne-Rhône-Alpes, France",12.1,5
"Notre-Dame-des-Landes, Pays de la Loire, France",24.4,9
"Saint-Martin-d'Abbat, Centre-Val de Loire, France",21.1,9
"Soulomès, Occitanie, France",26.7,9
"Granges-sur-Lot, Nouvelle-Aquitaine, France",22.4,7
"Mende, Wakiso, Uganda",16.9,10
"Mûrs-Erigné, Pays de la Loire, France",23.4,9
"Camprond, Normandie, France",26.2,8
"Saint Pierre, Saint Pierre and Miquelon",20.3,8
"Chamarandes-Choignes, Grand Est, France",15,7
"Anthenaise, La Chapelle-Anthenaise, Pays de la Loire, France",26.2,9
"Malleloy, Grand Est, France",15.8,8
"Récourt-le-Creux, Grand Est, France",19.6,7
"Moustoir-Ac, Bretagne, France",24.9,9
"Guessling-Hémering, Grand Est, France",22.5,8
"Saint-Saulge, Bourgogne-Franche-Comté, France",24.9,9
"Coutiches, Hauts-de-France, France",14.3,6
"Fitz-James, Hauts-de-France, France",17.7,8
"Belfonds, Normandie, France",24.6,9
"Fontaine-lès-Boulans, Hauts-de-France, France",19.1,8
"Pérignat-lès-Sarliève, Auvergne-Rhône-Alpes, France",21.2,9
"Dognen, Nouvelle-Aquitaine, France",26.1,9
"Gerde, Occitanie, France",26.5,10
"Finestret, Occitanie, France",57,10
"Schnersheim, Grand Est, France",14.1,6
"Feldkirch, Vorarlberg, Österreich",3.9,2
"Châtillon, Île-de-France, France",17.7,9
"Montigny-lès-Vesoul, Bourgogne-Franche-Comté, France",25.7,8
"Collonge-en-Charollais, Bourgogne-Franche-Comté, France",22.5,8
"Coulaines, Pays de la Loire, France",26.1,9
"Valmorel, Les Avanchers-Valmorel, Auvergne-Rhône-Alpes, France",13.7,6
"Brizon, Auvergne-Rhône-Alpes, France",18.9,10
"Paris, Île-de-France, France",17.7,9
"Varneville-Bretteville, Normandie, France",18.2,9
"Quiers, Île-de-France, France",14.6,9
"Bardelle, San Benedetto Po, Lombardia, Italia",18.2,7
"Mazières-en-Gâtine, Nouvelle-Aquitaine, France",27.2,9
"Bertangles, Hauts-de-France, France",15.1,8
"Réalmont, Occitanie, France",14,8
"Villemade, Occitanie, France",19.6,7
"Carcès, Provence-Alpes-Côte d'Azur, France",15.8,8
"Venasque, Provence-Alpes-Côte d'Azur, France",24.5,9
"La Chaize-le-Vicomte, Pays de la Loire, France",27.4,9
"Saint-Julien-l'Ars, Nouvelle-Aquitaine, France",27.5,9
"Couzeix, Nouvelle-Aquitaine, France",26.4,9
"Uxegney, Grand Est, France",18.3,6
"Monéteau, Bourgogne-Franche-Comté, France",18.1,9
"Chèvremont, Bourgogne-Franche-Comté, France",18.6,7
"Lardy, Île-de-France, France",18.5,9
"Boulogne, Essarts en Bocage, Pays de la Loire, France",27.7,9
"Bondy, Île-de-France, France",16.5,9
"Créteil, Île-de-France, France",16.9,9
"Auvers-sur-Oise, Île-de-France, France",17.2,9
