name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont(Ain), Auvergne-Rhône-Alpes, France",2024-04-29,66.6,49.7,57.3,66.6,49.7,57.3,53.2,87.2,0.189,96.8,16.67,rain,0.0,0.0,15.4,7.2,316.8,1005.0,90.3,6.3,95.3,8.2,4,10,2024-05-01T06:24:53,2024-05-01T20:47:32,0.75,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",2024-05-01,71.5,53.5,61.3,71.5,53.5,61.3,56.0,83.8,0.777,100.0,45.83,rain,0.0,0.0,25.7,11.9,62.1,1005.6,85.9,8.1,188.8,16.2,7,60,2024-05-01T06:22:44,2024-05-01T21:03:52,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"LFAQ,D1227"
"Treban, Auvergne-Rhône-Alpes, France",2024-05-01,57.5,50.9,54.2,57.5,50.9,54.2,52.4,93.6,0.529,100.0,70.83,rain,0.0,0.0,15.9,5.4,276.7,1006.0,97.4,3.9,56.6,4.7,3,10,2024-05-01T06:32:44,2024-05-01T20:56:55,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFLC,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",2024-05-01,69.7,50.3,58.1,69.7,50.3,58.1,50.8,77.7,0.143,100.0,45.83,rain,0.0,0.0,45.4,19.7,103.1,1005.0,98.3,6.5,45.9,4.0,5,10,2024-05-01T06:26:01,2024-05-01T20:39:03,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5975,LFMC,remote"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",2024-05-01,52.8,42.7,47.5,52.8,42.4,46.3,37.4,68.2,0.111,100.0,41.67,rain,0.0,0.7,18.6,8.1,160.2,1004.8,97.0,3.6,225.4,19.4,7,10,2024-05-01T06:24:44,2024-05-01T20:40:26,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",2024-05-01,68.7,50.3,59.2,68.7,50.3,59.2,53.3,81.8,0.687,100.0,66.67,rain,0.0,0.0,24.2,18.9,82.9,1006.7,93.1,4.9,23.3,2.0,1,10,2024-05-01T06:22:49,2024-05-01T20:35:09,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",2024-05-01,57.6,51.8,55.3,57.6,51.8,55.3,52.6,90.6,0.363,100.0,62.5,rain,0.0,0.0,17.7,8.1,309.3,1005.4,93.8,6.1,71.5,6.2,3,10,2024-05-01T06:31:49,2024-05-01T20:47:52,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFHP,LFMO"
"Mazerny, Grand Est, France",2024-05-01,74.0,51.7,61.2,74.0,51.7,61.2,55.9,83.5,0.114,100.0,20.83,rain,0.0,0.0,26.4,15.0,20.1,1005.9,90.2,8.3,240.7,20.8,7,60,2024-05-01T06:18:25,2024-05-01T20:59:53,0.75,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,"F0693,EBFS,F8085"
"Brassac, Occitanie, France",2024-05-01,56.3,40.0,51.5,56.3,32.7,49.8,50.2,95.1,1.13,100.0,87.5,rain,0.0,0.0,36.7,17.7,284.5,1007.0,97.1,3.8,61.5,5.4,3,10,2024-05-01T06:42:00,2024-05-01T20:52:57,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFMU,C4848,E4692,LFMK"
"Villechétif, Grand Est, France",2024-05-01,71.5,53.4,60.9,71.5,53.4,60.9,56.3,86.0,0.401,100.0,29.17,rain,0.0,0.0,20.4,12.6,352.9,1005.2,87.0,6.9,124.0,10.8,5,60,2024-05-01T06:23:54,2024-05-01T20:58:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"LFSI,LFOK,LFQB,E8061"
"Ladern-sur-Lauquet, Occitanie, France",2024-05-01,55.7,43.8,52.1,55.7,36.6,50.4,49.5,90.6,0.98,100.0,79.17,rain,0.0,0.0,37.4,19.5,277.2,1007.2,98.2,5.8,61.9,5.4,3,10,2024-05-01T06:43:45,2024-05-01T20:52:21,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"C4848,E4692,LFMK,LFMP"
"Pont-de-Salars, Occitanie, France",2024-05-01,53.5,39.8,48.9,53.5,32.5,47.1,47.7,95.6,1.233,100.0,91.67,rain,0.0,0.0,24.4,12.3,235.6,1006.7,96.5,3.9,13.3,1.2,0,10,2024-05-01T06:39:37,2024-05-01T20:53:33,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,LFCR
"Saint-Chamas, Provence-Alpes-Côte d'Azur, France",2024-05-01,64.3,56.3,59.5,64.3,56.3,59.5,55.0,85.5,0.423,100.0,62.5,rain,0.0,0.0,40.3,15.9,71.3,1004.4,96.4,7.8,104.7,9.1,6,10,2024-05-01T06:32:03,2024-05-01T20:42:38,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFMV,LFMY,LFMI,E6174,LFML"
"May-sur-Orne, Normandie, France",2024-05-01,53.4,46.3,50.3,53.4,43.5,49.4,47.4,90.1,0.369,100.0,41.67,rain,0.0,0.0,19.5,11.4,310.8,1007.6,92.7,5.4,58.5,5.1,2,10,2024-05-01T06:39:46,2024-05-01T21:18:23,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFRK,LFOH,LFRG"
"Thiézac, Auvergne-Rhône-Alpes, France",2024-05-01,53.5,42.7,49.5,53.5,38.6,48.2,48.1,95.2,1.286,100.0,87.5,rain,0.0,0.0,22.1,9.6,162.0,1006.3,96.3,4.5,17.2,1.4,1,10,2024-05-01T06:38:09,2024-05-01T20:55:31,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,LFCR
"Champniers, Nouvelle-Aquitaine, France",2024-05-01,55.3,48.1,50.6,55.3,42.8,48.3,47.8,90.1,0.461,100.0,50.0,rain,0.0,0.0,20.6,12.7,293.7,1007.8,98.9,6.0,32.6,2.7,1,10,2024-05-01T06:46:18,2024-05-01T21:07:04,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"AV387,LFBL,D6101,LFBG,LFBU"
"Saint-Georges-des-Coteaux, Nouvelle-Aquitaine, France",2024-05-01,56.5,49.0,51.8,56.5,45.9,51.4,48.1,87.5,0.422,100.0,75.0,rain,0.0,0.0,17.4,10.0,300.5,1008.3,98.9,7.5,48.3,4.1,2,10,2024-05-01T06:49:50,2024-05-01T21:10:52,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFBH,D6101,LFBG,LFBU"
"Osmoy, Île-de-France, France",2024-05-01,64.6,52.5,58.0,64.6,52.5,58.0,54.4,88.3,0.265,100.0,58.33,rain,0.0,0.0,25.1,11.4,339.1,1006.0,91.1,6.2,128.3,11.1,4,10,2024-05-01T06:32:04,2024-05-01T21:09:21,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFPV,LFOE,LFPN,F3628,LFPT"
"Corrèze, Nouvelle-Aquitaine, France",2024-05-01,54.3,45.4,51.4,54.3,41.2,50.2,49.8,94.4,1.123,100.0,87.5,rain,0.0,0.0,20.1,12.4,303.6,1006.4,97.6,3.4,54.5,4.6,2,10,2024-05-01T06:40:28,2024-05-01T20:59:33,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFSL,LFBL,F1092"
"Santa-Maria-Siché, Corse, France",2024-05-01,67.2,50.1,60.2,67.2,50.1,60.2,54.0,81.2,0.795,100.0,58.33,rain,0.0,0.0,43.8,14.2,251.6,1007.7,93.8,7.6,106.0,9.2,4,10,2024-05-01T06:19:55,2024-05-01T20:23:09,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFKS,LFKC,LFKF,LFKJ"
"Érone, Corse, France",2024-05-01,64.1,49.7,58.8,64.1,48.9,58.8,55.0,87.3,0.534,100.0,58.33,rain,0.0,0.0,23.7,8.8,71.5,1007.4,92.1,7.7,76.5,6.7,4,10,2024-05-01T06:17:42,2024-05-01T20:23:03,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFKC,LFKS,LFKB,LFKJ"
"Saint-Martin-du-Mont(Côte d'Or), Bourgogne-Franche-Comté, France",2024-04-29,66.6,49.7,57.3,66.6,49.7,57.3,53.2,87.2,0.189,96.8,16.67,rain,0.0,0.0,15.4,7.2,316.8,1005.0,90.3,6.3,95.3,8.2,4,10,2024-05-01T06:24:53,2024-05-01T20:47:32,0.75,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Plaine-Haute, Bretagne, France",2024-05-01,55.3,46.3,49.8,55.3,44.0,48.9,44.8,83.7,0.0,61.3,0.0,rain,0.0,0.0,13.4,9.1,83.7,1007.9,91.4,8.4,167.5,14.3,5,10,2024-05-01T06:51:29,2024-05-01T21:26:28,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,"LFRO,F3057,LFRT,LFRD"
"Moutier-d'Ahun, Nouvelle-Aquitaine, France",2024-05-01,55.3,45.2,50.9,55.3,40.8,49.7,49.8,95.9,0.941,100.0,91.67,rain,0.0,0.0,19.5,11.4,310.0,1006.3,97.9,3.8,51.5,4.4,2,10,2024-05-01T06:37:59,2024-05-01T21:00:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFBL,F1092"
"Notre-Dame-de-Sanilhac, Sanilhac, Nouvelle-Aquitaine, France",2024-05-01,52.6,47.6,50.3,52.6,43.4,48.9,48.1,92.2,0.551,100.0,62.5,rain,0.0,0.0,23.7,13.8,300.2,1007.4,97.1,5.3,11.8,1.0,0,10,2024-05-01T06:45:41,2024-05-01T21:03:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFSL,LFBE,LFBU"
"Chevigney-lès-Vercel, Bourgogne-Franche-Comté, France",2024-05-01,67.3,43.3,55.4,67.3,43.3,55.4,48.0,79.4,0.004,100.0,4.17,rain,0.0,0.0,20.6,8.9,238.1,1005.4,85.1,7.5,138.3,12.0,5,30,2024-05-01T06:18:02,2024-05-01T20:46:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"LSGC,LSMP,LFSX,E5976,LFGJ,E5758"
"Saint-Sauveur-en-Diois, Auvergne-Rhône-Alpes, France",2024-05-01,62.5,49.2,55.0,62.5,49.2,55.0,52.7,92.1,0.963,100.0,62.5,rain,0.0,0.0,24.6,6.7,311.0,1005.1,95.5,7.0,166.0,14.6,6,10,2024-05-01T06:28:59,2024-05-01T20:44:45,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"F1608,LFLS,LFMO"
"Quittebeuf, Normandie, France",2024-05-01,60.9,50.6,55.2,60.9,50.6,55.2,53.3,93.4,0.39,100.0,58.33,rain,0.0,0.0,25.5,14.3,326.3,1006.6,96.6,5.0,129.5,11.3,4,10,2024-05-01T06:34:14,2024-05-01T21:12:51,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFOE,LFOP,LFRG,F3628,LFPT"
"Nogent-sur-Eure, Centre-Val de Loire, France",2024-05-01,62.0,50.8,56.4,62.0,50.8,56.4,53.8,91.3,1.098,100.0,83.33,rain,0.0,0.0,23.3,12.8,320.1,1006.1,96.1,6.0,70.4,6.2,3,10,2024-05-01T06:34:48,2024-05-01T21:09:25,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFOE,LFPV,E5773,LFOJ,LFPN"
